Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2020-01-12,LAVAL,2016,Bangalore,"['Shrishti', ' Prithika']",Jazal Group,3000000.0,Pre-series A,2020,Wellness/Beauty,2,1
2020-01-14,WakeFit,2016,Bangalore,"['Ankit Garg', ' Chaitanya Ramalingegowda']",Sequoia Capital.,20000000.0,Series B,2020,Consumer Services,2,1
2020-01-14,Pristyn Care,2018,Gurugram,['Harsimarbir (Harsh) Singh'],"Sequoia Capital India, Hummingbird Ventures",11000000.0,Series A,2020,Automotive,1,2
2020-01-14,HomeCapital,2016,Mumbai,['Lalit Menghani'],Varanium NexGen Fund,3000000.0,Series A,2020,FinTech,1,1
2020-01-14,Airmeet,2016,Bangalore,"['Lalit Mangal', ' Vinay Jaasti', ' Manoj Singh']",Accel India,3000000.0,Series A,2020,Media/Entertainment,3,1
2020-01-14,Pitstop,2015,Bangalore,['Mihir Mohan Mishra'],"Clairvest Group, Ontario Centres of Excellence",1020000.0,Series A,2020,Automotive,1,2
2020-01-14,EWar,2019,Bangalore,"['Parth Chadha', ' Rahul Singh']","Jindal Steels, Jeet Banerjee",3000000.0,Pre-series A,2020,Gaming,2,2
2020-01-16,Eduvanz,2016,Mumbai,"['Varun Chopra', ' Raheel Shah']",Sequoia India,5000000.0,Series A,2020,FinTech,2,1
2020-01-16,VestSpace,2018,Pune,['Arun Kumar Sureban'],Next Capital,10000000.0,Series A,2020,Technology,1,1
2020-01-16,MetaMerphoSys,2016,Pune,"['Amit Naik', ' Kewal Vargante']",Good Capital,3000000.0,Pre-series A,2020,Finance,2,1
2020-01-16,Genrobotics,2015,Kerala,"['Arun George', ' Nikhil NP', ' Rashid Bin Abdulla', ' Vimal Govind MK']",Unicorn India Ventures,300000.0,Series A,2020,Technology,4,1
2020-01-17,Box8,2011,Mumbai,"['Amit Raj', ' Anshul Gupta']","IIFL Seed Ventures Fund, Menlo park",4000000.0,Series A,2020,Consumables,2,2
2020-01-17,Sunstone Eduversity,2014,Gurugram,"['Ashish Munjal', ' Piyush Nangru']",Prime Venture Partners,3000000.0,Series A,2020,Education,2,1
2020-01-17,Expertrons,2019,Mumbai,['Jatin Solanki'],"Rohit Chanana, Sukanta Ganguly",3000000.0,Series A,2020,Education,1,2
2020-01-17,Nova Credit,2016,Bangalore,['Nicky Goulimis'],"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000.0,Series B,2020,FinTech,1,5
2020-01-17,Qapita,2019,Singapore,"['Ravi Ravulaparthi', ' Lakshman Gupta', ' Vamsee Mohan']","Alto Partners, Mission Holdings",1080000.0,Seed,2020,FinTech,3,2
2020-01-17,Traya,2016,Mumbai,"['Altaf Saiyed', ' Saloni Anand']","Kae Capital, Whiteboard Capital",3000000.0,Seed,2020,Healthcare,2,2
2020-01-18,Infra.Market,2016,Thane,"['Aaditya Sharda', ' Souvik Sengupta']","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020,Real Estate,2,2
2020-01-18,Finaureus Technologies,2017,Pune,"['Arindam Ghosh', ' U R Bhatt']",Pinetree Capital,3000000.0,Pre-series A,2020,FinTech,2,1
2020-01-19,Anaxee Digital Runner,2016,Indore,"['Govind Agrawal', ' Arti Agrawal']",Orios Venture Partners,3000000.0,Series A,2020,Technology,2,1
2020-01-19,MPL,2018,Bangalore,"['Sai Srinivas Kiran G', ' Shubham Malhotra']","Pegasus Tech Ventures, Base Partners",5000000.0,Series A,2020,Gaming,2,2
2020-01-19,Wobot Intelligence,2016,Delhi,"['Adit Chhabra', ' Tapan Dixit', 'Tanay Dixit.']",Sequoia Capital India,2500000.0,Pre-series A,2020,Technology,3,1
2020-01-19,JetSynthesys,2012,Mumbai,['Rajan Navani'],"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0,Series A,2020,Technology,1,2
2020-01-19,Monech,2016,Mumbai,['Byju Raveendran'],Angel investors,12700.0,Seed Round,2020,FinTech,1,1
2020-01-20,Instoried,2016,Delhi,['Sharmin Ali'],"SOSV, Chinaccelerator",3000000.0,Series A,2020,Technology,1,2
2020-01-20,The New Shop,2019,Delhi,"['Charak Almast', ' Aastha Almast', ' Mani Dev Gyawali']",Huddle Accelerator,500000.0,Seed,2020,Consumer Services,3,1
2020-01-21,GogoBus,2016,Delhi,['Amit Gupta'],Ixigo,3000000.0,Series A,2020,Logistics,1,1
2020-01-21,BuildPan,2019,Indore,"['Sonal Dandotia', ' Shantanu S', ' Virendra Chouhan', ' Vaibhav Tiwari']","Sunil Kumar Singhvi, Yusho Kawata",500000.0,Seed,2020,Technology,4,2
2020-01-21,Slice,2016,Bangalore,['Rajan Bajaj'],Gunosy,6082000.0,Pre series B,2020,FinTech,1,1
2020-01-22,Dozee,2015,Bangalore,['Gaurav Parchani'],Venture Catalysts,1600000.0,Series A,2020,Healthcare,1,1
2020-01-23,LendingKart,2014,Ahmedabad,"['Harshvardhan Lunia', ' Mukul Sachan']","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D,2020,FinTech,2,4
2020-01-23,DrinkPrime,2016,Bangalore,"['Viijender Reddy', ' Manas Ranjan Hota']",Sequoia Surge,2879000.0,Pre-series A,2020,Other,2,1
2020-01-23,Razorpay,2014,Bangalore,"['Harshil Mathur', ' Shashank Kumar']","Tiger Global Management, Sequoia Capital India",100000000.0,Series D,2020,FinTech,2,2
2020-01-23,Toch,2016,Mumbai,"['Vinayak Srivastav', ' Saket Dandotia', ' Alok Patil']","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Pre-series A,2020,Technology,3,3
2020-01-24,Karbon Card,2016,Bangalore,"['Pei-fu Hsieh', ' Amit Jangir']","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed Round,2020,FinTech,2,3
2020-01-24,Ather Energy,2013,Bangalore,"['Arun Vinayak', ' Swapnil Jain', ' Tarun Mehta']",HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Series D,2020,Automotive,3,1
2020-01-25,Uable,2016,Bangalore,['Saurabh Saxena'],3one4 Capital,3000000.0,Seed Round,2020,Education,1,1
2020-01-25,Your MD,2012,London,"['Alessandro Traverso', ' Birger Lie', ' Harald Jellum', ' Matteo Berlucchi']","Orkla Ventures, Smedvig Capital",25000000.0,Series A,2020,Automotive,4,2
2020-01-26,Strata,2019,Bangalore,"['Sudarshan Lodha', ' Priyanka Rathore']","SAIF Partners, Mayfield India",1500000.0,Seed Round,2020,Technology,2,2
2020-01-26,Aether Biomedical,2016,Delhi,"['Dhruv Agrawal', ' Faith Jiwakhan']",Chiratae Ventures,3000000.0,Seed Investment,2020,Technology,2,1
2020-01-26,Rephrase.ai,2018,Bangalore,"['Ashray Malhotra', ' Nisheeth Lahoti', ' Shivam Mangla']","Techstars Bangalore Accelerator, Techstars",1500000.0,Seed,2020,Technology,3,2
2020-01-26,WinZO,2016,Delhi,"['Paavan Nanda', ' Saumya Singh Rathore']","Makers Fund, Courtside Ventures",18000000.0,Series B,2020,Gaming,2,2
2020-01-27,Unacademy,2015,Bangalore,"['Gaurav Munjal', ' Hemesh Singh', ' Roman Saini', ' Sachin Gupta']","Dragoneer Investment Group, Tiger Global Management",3000000.0,Series A,2020,Education,4,2
2020-01-29,Bugworks,2014,Bangalore,['Anand Anandkumar'],"University of Tokyo Edge Capital, Global Brain Corporation",7500000.0,Series A,2020,Healthcare,1,2
2020-01-29,Wellness Forever,2008,Mumbai,"['Ashraf Biran', ' Gulshan Bakhtiani', ' Mohan Chavan']","Poonawalla, Allana Group",100000000.0,Series A,2020,Healthcare,3,2
2020-01-29,Gully Network,2019,Bangalore,"['Ajay Nain', ' Prateek Chaturvedi']","CP Ventures, Orios Venture Partners",1200000.0,Pre-series A,2020,E-Commerce,2,2
