Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-08-13,Toffee,Seed,1500000.0,2018,2016,Gurugram,Technology
2018-08-13,FreightBro,Seed,5800000.0,2018,2016,Mumbai,Logistics
2018-08-13,Microchip Payments,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-08-14,Dunzo,Seed,70000000.0,2018,2016,Bangalore,Technology
2018-08-14,Earth Food,Seed,64000000.0,2018,2016,Pune,Consumables
2018-08-15,6Degree,Seed,400000.0,2018,2016,Mumbai,Consumer Services
2018-08-15,Toppr,Series C,35000000.0,2018,2016,Mumbai,Education
2018-08-15,Propelld,Seed,250000.0,2018,2016,Bangalore,FinTech
2018-08-15,Healthkart,Venture - Series Unknown,10000000.0,2018,2016,Gurugram,Automotive
2018-08-15,BuyForexOnline,Seed,2000000.0,2018,2016,Bangalore,Logistics
2018-08-15,Disprz,Seed,400000.0,2018,2016,Chennai,Education
2018-08-15,Colive.in,Seed,1800000.0,2018,2016,Bangalore,Consumer Services
2018-08-16,Gugu,Seed,250000.0,2018,2016,Coimbatore,Energy
2018-08-17,Chaayos,Series B,810000000.0,2018,2016,Delhi,Consumables
2018-08-18,Impact Guru,Series A,2000000.0,2018,2016,Mumbai,Automotive
2018-08-21,Deftouch,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-08-21,GalaxyCard,Seed,5800000.0,2018,2016,Noida,FinTech
2018-08-22,InnerChef,Venture - Series Unknown,1760000.0,2018,2016,Gurugram,Consumables
2018-08-22,PinkBlue,Seed,300000.0,2018,2016,Bangalore,Automotive
2018-08-23,PharmEasy,Series C,80000000.0,2018,2016,Mumbai,Automotive
2018-08-24,Fasal,Seed,120000.0,2018,2016,Bangalore,Agriculture
2018-08-24,CollPoll,Seed,5800000.0,2018,2016,Bangalore,Education
2018-08-25,Daaki,Angel,5800000.0,2018,2016,Bangalore,Automotive
2018-08-25,PaisaDukan,Seed,650000.0,2018,2016,Mumbai,Finance
2018-08-25,Survaider,Seed,500000.0,2018,2016,Bangalore,Marketing
2018-08-25,OPEN,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-08-25,Flock,Seed,5800000.0,2018,2016,India,Media/Entertainment
2018-08-26,Indiabulls Ventures,Post-IPO Equity,-2147483648.0,2018,2016,Mumbai,Finance
2018-08-26,i2ifunding,Angel,50000000.0,2018,2016,Noida,Finance
2018-08-26,Swiggy,Series H,1000000000.0,2018,2016,Bangalore,Consumables
2018-08-26,Truebil,Series A,2000000.0,2018,2016,Mumbai,Automotive
2018-08-27,Guardian.in,Seed,5800000.0,2018,2016,Mumbai,Automotive
2018-08-28,Cred,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-08-28,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Seed,200000.0,2018,2016,Pune,Marketing
2018-08-28,PrestLoans,Seed,100000.0,2018,2016,Delhi,FinTech
